2024-10-11 02:07:58 status half-installed util-linux:arm64 2.39.3-9ubuntu6
2024-10-11 02:07:59 status unpacked util-linux:arm64 2.39.3-9ubuntu6
2024-10-11 02:07:59 install zlib1g:arm64 <none> 1:1.3.dfsg-3.1ubuntu2
2024-10-11 02:07:59 status half-installed zlib1g:arm64 1:1.3.dfsg-3.1ubuntu2
2024-10-11 02:07:59 status unpacked zlib1g:arm64 1:1.3.dfsg-3.1ubuntu2
2024-10-11 02:07:59 startup packages configure
2024-10-11 02:07:59 configure gcc-14-base:arm64 14-20240412-0ubuntu1 <none>
2024-10-11 02:07:59 status unpacked gcc-14-base:arm64 14-20240412-0ubuntu1
2024-10-11 02:07:59 status half-configured gcc-14-base:arm64 14-20240412-0ubuntu1
2024-10-11 02:07:59 status installed gcc-14-base:arm64 14-20240412-0ubuntu1
2024-10-11 02:07:59 configure libaudit-common:all 1:3.1.2-2.1build1 <none>
2024-10-11 02:07:59 status unpacked libaudit-common:all 1:3.1.2-2.1build1
2024-10-11 02:07:59 status half-configured libaudit-common:all 1:3.1.2-2.1build1
2024-10-11 02:07:59 status installed libaudit-common:all 1:3.1.2-2.1build1
2024-10-11 02:07:59 configure libsemanage-common:all 3.5-1build5 <none>
2024-10-11 02:07:59 status unpacked libsemanage-common:all 3.5-1build5
2024-10-11 02:07:59 status half-configured libsemanage-common:all 3.5-1build5
2024-10-11 02:07:59 status installed libsemanage-common:all 3.5-1build5
2024-10-11 02:07:59 configure debconf:all 1.5.86ubuntu1 <none>
2024-10-11 02:07:59 status unpacked debconf:all 1.5.86ubuntu1
2024-10-11 02:07:59 status half-configured debconf:all 1.5.86ubuntu1
2024-10-11 02:07:59 status installed debconf:all 1.5.86ubuntu1
2024-10-11 02:07:59 configure ncurses-base:all 6.4+20240113-1ubuntu2 <none>
2024-10-11 02:07:59 status unpacked ncurses-base:all 6.4+20240113-1ubuntu2
2024-10-11 02:07:59 status half-configured ncurses-base:all 6.4+20240113-1ubuntu2
2024-10-11 02:07:59 status installed ncurses-base:all 6.4+20240113-1ubuntu2
2024-10-11 02:07:59 configure init-system-helpers:all 1.66ubuntu1 <none>
2024-10-11 02:07:59 status unpacked init-system-helpers:all 1.66ubuntu1
2024-10-11 02:07:59 status half-configured init-system-helpers:all 1.66ubuntu1
2024-10-11 02:07:59 status installed init-system-helpers:all 1.66ubuntu1
2024-10-11 02:07:59 configure sensible-utils:all 0.0.22 <none>
2024-10-11 02:07:59 status unpacked sensible-utils:all 0.0.22
2024-10-11 02:07:59 status half-configured sensible-utils:all 0.0.22
2024-10-11 02:07:59 status installed sensible-utils:all 0.0.22
2024-10-11 02:07:59 configure libgcc-s1:arm64 14-20240412-0ubuntu1 <none>
2024-10-11 02:07:59 status unpacked libgcc-s1:arm64 14-20240412-0ubuntu1
2024-10-11 02:07:59 status half-configured libgcc-s1:arm64 14-20240412-0ubuntu1
2024-10-11 02:07:59 status installed libgcc-s1:arm64 14-20240412-0ubuntu1
2024-10-11 02:07:59 configure libc6:arm64 2.39-0ubuntu8 <none>
2024-10-11 02:07:59 status unpacked libc6:arm64 2.39-0ubuntu8
2024-10-11 02:07:59 status half-configured libc6:arm64 2.39-0ubuntu8
2024-10-11 02:07:59 status installed libc6:arm64 2.39-0ubuntu8
2024-10-11 02:07:59 configure libmd0:arm64 1.1.0-2build1 <none>
2024-10-11 02:07:59 status unpacked libmd0:arm64 1.1.0-2build1
2024-10-11 02:07:59 status half-configured libmd0:arm64 1.1.0-2build1
2024-10-11 02:07:59 status installed libmd0:arm64 1.1.0-2build1
2024-10-11 02:07:59 configure libattr1:arm64 1:2.5.2-1build1 <none>
2024-10-11 02:07:59 status unpacked libattr1:arm64 1:2.5.2-1build1
2024-10-11 02:07:59 status half-configured libattr1:arm64 1:2.5.2-1build1
2024-10-11 02:07:59 status installed libattr1:arm64 1:2.5.2-1build1
2024-10-11 02:07:59 configure sysvinit-utils:arm64 3.08-6ubuntu3 <none>
2024-10-11 02:07:59 status unpacked sysvinit-utils:arm64 3.08-6ubuntu3
2024-10-11 02:07:59 status half-configured sysvinit-utils:arm64 3.08-6ubuntu3
2024-10-11 02:07:59 status installed sysvinit-utils:arm64 3.08-6ubuntu3
2024-10-11 02:07:59 configure libext2fs2t64:arm64 1.47.0-2.4~exp1ubuntu4 <none>
2024-10-11 02:07:59 status unpacked libext2fs2t64:arm64 1.47.0-2.4~exp1ubuntu4
2024-10-11 02:07:59 status half-configured libext2fs2t64:arm64 1.47.0-2.4~exp1ubuntu4
2024-10-11 02:07:59 status installed libext2fs2t64:arm64 1.47.0-2.4~exp1ubuntu4
2024-10-11 02:07:59 configure debianutils:arm64 5.17build1 <none>
2024-10-11 02:07:59 status unpacked debianutils:arm64 5.17build1
2024-10-11 02:07:59 status half-configured debianutils:arm64 5.17build1
2024-10-11 02:07:59 status installed debianutils:arm64 5.17build1
2024-10-11 02:07:59 configure mawk:arm64 1.3.4.20240123-1build1 <none>
2024-10-11 02:07:59 status unpacked mawk:arm64 1.3.4.20240123-1build1
2024-10-11 02:07:59 status half-configured mawk:arm64 1.3.4.20240123-1build1
2024-10-11 02:07:59 status installed mawk:arm64 1.3.4.20240123-1build1
2024-10-11 02:07:59 configure libdebconfclient0:arm64 0.271ubuntu3 <none>
2024-10-11 02:07:59 status unpacked libdebconfclient0:arm64 0.271ubuntu3
2024-10-11 02:07:59 status half-configured libdebconfclient0:arm64 0.271ubuntu3
2024-10-11 02:07:59 status installed libdebconfclient0:arm64 0.271ubuntu3
2024-10-11 02:07:59 configure libbz2-1.0:arm64 1.0.8-5.1 <none>
2024-10-11 02:07:59 status unpacked libbz2-1.0:arm64 1.0.8-5.1
2024-10-11 02:07:59 status half-configured libbz2-1.0:arm64 1.0.8-5.1
2024-10-11 02:07:59 status installed libbz2-1.0:arm64 1.0.8-5.1
2024-10-11 02:07:59 configure libblkid1:arm64 2.39.3-9ubuntu6 <none>
2024-10-11 02:07:59 status unpacked libblkid1:arm64 2.39.3-9ubuntu6
2024-10-11 02:07:59 status half-configured libblkid1:arm64 2.39.3-9ubuntu6
2024-10-11 02:07:59 status installed libblkid1:arm64 2.39.3-9ubuntu6
